# Column 1 = Input data size
# Column 2 = Avg time for HashTableCollection sort function
# Column 3 = Avg time for AVLCollection sort function
# Column 4 = Avg time for RBTCollection sort function
# All times are measured in microseconds
0 0.0000 0.0000 0.0000
10000 4.4670 0.3627 0.3790
20000 10.4380 0.7767 0.8560
30000 16.3737 1.6167 1.7613
40000 21.6240 1.9137 4.2720
50000 30.9057 3.5477 4.7123
60000 34.4040 4.6863 5.6910
70000 38.6570 4.7990 6.1660
80000 44.1220 5.4880 7.6240
90000 55.1657 8.6050 10.7803
100000 61.9923 9.2747 11.5383
110000 66.8140 9.7377 12.7183
120000 72.8940 10.5227 13.7140
130000 80.0430 11.1883 14.1480
140000 84.9777 12.0503 15.2823
150000 90.7597 12.9563 16.4973
160000 99.7947 13.3447 16.8763
170000 108.8737 18.0923 21.5340
180000 113.6647 18.8003 23.0933
190000 130.0007 18.4073 23.2817
200000 134.1017 21.2133 24.6037
210000 132.1130 19.5830 25.1337
220000 141.2760 20.4220 25.8900
230000 148.6930 21.3103 27.3380
240000 163.4537 22.0810 27.4913
250000 169.0000 22.7397 27.9553
260000 169.7880 22.8427 23.9043
270000 176.2297 23.1283 25.6780
280000 186.4127 24.5033 25.5453
290000 192.7867 24.1377 25.7450
300000 198.4973 24.7280 26.2243
