# Column 1 = Input data size
# Column 2 = Avg time for HashTableCollection find-range function
# Column 3 = Avg time for AVLCollection find-range function
# Column 4 = Avg time for RBTCollection find-range function
# All times are measured in microseconds
0 0.0000 0.0000 0.0000
10000 1.0340 0.7543 0.7447
20000 2.0680 1.6147 1.5773
30000 3.2970 2.3010 2.3287
40000 4.4250 2.9607 3.0800
50000 5.8570 3.8747 3.8857
60000 7.0157 4.7643 4.7333
70000 8.1717 5.7810 6.1267
80000 9.5523 7.2467 7.2507
90000 11.3943 8.1023 8.2607
100000 12.7323 8.8290 8.6853
110000 13.5293 9.3290 9.2863
120000 15.3133 9.8927 10.8967
130000 16.6007 10.7300 10.6507
140000 16.7490 11.3497 11.8380
150000 18.5570 13.0937 14.1417
160000 19.7943 14.0087 14.3863
170000 22.0920 15.4603 15.5703
180000 23.1223 16.7387 16.4080
190000 25.2537 17.1903 17.3323
200000 26.7657 18.4133 18.1337
210000 28.9313 19.1943 19.2247
220000 30.2077 20.2620 20.3257
230000 31.5593 21.2993 23.9830
240000 33.4113 22.4647 22.3083
250000 34.7937 22.5877 23.3363
260000 37.6913 24.5733 24.9803
270000 34.7443 25.5090 26.0377
280000 35.5747 27.8327 27.1407
290000 37.6230 27.7837 28.1647
300000 40.9800 29.0030 29.3160
